codigo,nombre,nivel,padre,grupo,naturaleza,estado_financiero,epigrafe,tipo_analitico,bidireccional,is_contra,pymes,epigrafe_pymes,cashflow_bucket
1,Financiación básica,1,,1,ACREEDORA,,,,0,0,1,,FINANCIACION
10,Capital,2,1,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital,FINANCIACION
100,Capital social,3,10,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,FINANCIACION
101,Fondo social,3,10,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,FINANCIACION
102,Capital,3,10,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,FINANCIACION
103,Socios por desembolsos no exigidos,3,10,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
1030,"Socios por desembolsos no exigidos, capital social",4,103,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
1034,"Socios por desembolsos no exigidos, capital pendiente de inscripción",4,103,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
104,Socios por aportaciones no dinerarias pendientes,3,10,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
1040,"Socios por aportaciones no dinerarias pendientes, capital social",4,104,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
1044,"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",4,104,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
108,Acciones o participaciones propias en situaciones especiales,3,10,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / IV. (Acciones y participaciones en patrimonio propias),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / IV. (Acciones y participaciones en patrimonio propias),FINANCIACION
109,Acciones o participaciones propias para reducción de capital,3,10,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / IV. (Acciones y participaciones en patrimonio propias),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / IV. (Acciones y participaciones en patrimonio propias),FINANCIACION
11,Reservas y otros instrumentos de patrimonio,2,1,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios,,0,0,1,A) Patrimonio neto / A-1) Fondos propios,FINANCIACION
110,Prima de emisión o asunción,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / II. Prima de emisión,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / II. Prima de emisión,FINANCIACION
111,Otros instrumentos de patrimonio neto,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / IX. Otros instrumentos de patrimonio neto,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / IX. Otros instrumentos de patrimonio neto,FINANCIACION
1110,Patrimonio neto por emisión de instrumentos financieros compuestos,4,111,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / IX. Otros instrumentos de patrimonio neto,,0,0,0,,FINANCIACION
1111,Resto de instrumentos de patrimonio neto,4,111,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / IX. Otros instrumentos de patrimonio neto,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / IX. Otros instrumentos de patrimonio neto,FINANCIACION
112,Reserva legal,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 1. Legal y estatutarias,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 1. Legal y estatutarias,FINANCIACION
113,Reservas voluntarias,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
114,Reservas especiales,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
1140,Reservas para acciones o participaciones de la sociedad dominante,4,114,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
1141,Reservas estatutarias,4,114,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 1. Legal y estatutarias,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 1. Legal y estatutarias,FINANCIACION
1142,Reserva por capital amortizado,4,114,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
1143,Reserva por fondo de comercio,4,114,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
1144,Reservas por acciones propias aceptadas en garantía,4,114,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
115,Reservas por pérdidas y ganancias actuariales y otros ajustes,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
